Date,AAPL,TSLA,GE,C,CCL
2/25/21,120.989998,682.219971,12.76,67.410004,25.469999
2/26/21,121.260002,675.5,12.54,65.879997,26.75
3/1/21,127.790001,718.429993,13.11,69.540001,26.309999
3/2/21,125.120003,686.440002,12.98,68.910004,27.59
3/3/21,122.059998,653.200012,13.44,70.379997,28.67
3/4/21,120.129997,621.440002,13.57,69.809998,27.4
3/5/21,121.419998,597.950012,13.6,70.230003,26.09
3/8/21,116.360001,563,14.17,72.220001,26.690001
3/9/21,121.089996,673.580017,14,70.989998,27.58
3/10/21,119.980003,668.059998,13.25,73.75,26.700001
3/11/21,121.959999,699.599976,12.27,73.309998,27.469999
3/12/21,121.029999,693.72998,12.58,75.18,28.459999
3/15/21,123.989998,707.940002,13.35,74.220001,29.790001
3/16/21,125.57,676.880005,13.15,73.330002,28.25
3/17/21,124.760002,701.809998,13.61,73.599998,28.93
3/18/21,120.529999,653.159973,13.25,73.839996,28.27
3/19/21,119.989998,654.869995,13.22,73.010002,28.959999
3/22/21,123.389999,670,13.13,71.959999,27.48
3/23/21,122.540001,662.159973,12.66,70.910004,25.33
3/24/21,120.089996,630.27002,12.5,70.080002,24.85
3/25/21,120.589996,640.390015,12.85,71.720001,25.85
3/26/21,121.209999,618.710022,12.99,73.019997,26.059999
3/29/21,121.389999,611.289978,12.95,71.580002,25.629999
3/30/21,119.900002,635.619995,13.3,72.959999,26.65
3/31/21,122.150002,667.929993,13.13,72.75,26.540001
4/1/21,123,661.75,13.28,73.139999,26.860001
4/5/21,125.900002,691.049988,13.46,72.75,28.110001
4/6/21,126.209999,691.619995,13.4,72.599998,28.6
4/7/21,127.900002,670.969971,13.39,72.690002,29
4/8/21,130.360001,683.799988,13.45,72.330002,28.559999
4/9/21,133,677.02002,13.6,72.419998,29.299999
4/12/21,131.240005,701.97998,13.59,72.690002,27.75
4/13/21,134.429993,762.320007,13.44,72.059998,27.82
4/14/21,132.029999,732.22998,13.68,72.910004,27.940001
4/15/21,134.5,738.849976,13.55,72.540001,27.32
4/16/21,134.160004,739.780029,13.39,72.449997,27.030001
4/19/21,134.839996,714.630005,13.46,72.129997,26.889999
4/20/21,133.110001,718.98999,13.06,69.790001,25.719999
4/21/21,133.5,744.119995,13.35,70.650002,27.33
4/22/21,131.940002,719.690002,13.41,69.809998,26.91
4/23/21,134.320007,729.400024,13.55,71.379997,27.27
4/26/21,134.720001,738.200012,13.57,72.199997,27.549999
4/27/21,134.389999,704.73999,13.49,72.989998,27.809999
4/28/21,133.580002,694.400024,13.2,72.910004,27.799999
4/29/21,133.479996,677,13.21,73.839996,27.209999
4/30/21,131.460007,709.440002,13.12,71.239998,27.959999
5/3/21,132.539993,684.900024,13.45,71.709999,27.93
5/4/21,127.849998,673.599976,13.12,72.330002,26.68
5/5/21,128.100006,670.940002,13.21,73.709999,26.52
5/6/21,129.740005,663.539978,13.21,74.779999,25.950001
5/7/21,130.210007,672.369995,13.3,75.080002,26.76
5/10/21,126.849998,629.039978,13.35,75.129997,26.27
5/11/21,125.910004,617.200012,13.09,74.870003,25.879999
5/12/21,122.769997,589.890015,12.82,74.230003,24.780001
5/13/21,124.970001,571.690002,12.97,75.290001,25.120001
5/14/21,127.449997,589.73999,13.26,76.559998,27.200001
5/17/21,126.269997,576.830017,13.15,77.419998,27.52
5/18/21,124.849998,577.869995,12.97,76.620003,28
5/19/21,124.690002,563.460022,13.09,76.459999,27.68
5/20/21,127.309998,586.780029,13.06,76.199997,27.530001
5/21/21,125.43,580.880005,13.23,77.650002,27.17
5/24/21,127.099998,606.440002,13.18,78.029999,27.9
