"","AAPL","TSLA","GE","C","CCL","F","BAC","AMD","INO","SIRI","VALE","WFC","AAL","OXY","NCLH","ORCL","PCG","COTY","INTC","SNAP","QRTEA","NOK","XOM","JPM","M","DAL","MSFT","MRO","UAL","T","ABEV","TSM","ITUB","PFE","SGMS","WKHS","GM","CSCO","ET","SQ","FB","CMCSA","PBR","NVDA","PLUG","MGM","AM","FCX","NLY","IMMU","BA","MU","KGC","TWTR","KMI","AUY","BBD","SCHW","KR","BP","OPK","GOLD","HST","WMB","PENN","KHC","NBL","GFI","SLB","MRK","ZNGA","ROKU","WMT","CVS","LUV","VER","FDX","HBAN","KO","VZ","APPS","EPD","CTL","APA","DVN","CVX","OSTK"
"2018-08-01",48.946239,60.167999,12.485587,67.17318,54.73143,8.967312,29.632639,18.48,3.95,6.73886,12.847239,52.711899,37.332352,73.361755,49.220001,45.75219,42.509998,12.342702,46.230652,12.38,15.87032,5.3178,71.290634,108.472595,32.909538,51.491821,103.061348,19.817753,80.019997,28.187338,4.928996,38.961418,7.035915,37.083752,45.799999,1.46,34.470036,39.453545,14.686046,66.860001,171.649994,33.914486,11.151124,244.800156,1.96,27.532591,14.320986,15.185383,8.211697,23.65,339.522583,52.290001,3.57,31.91,15.735257,3.103982,6.223881,48.974895,27.346848,38.466766,5.72,8.50913,19.905113,25.88376,31.450001,52.679077,33.783813,3.573558,60.19865,61.426636,3.85,45.650002,84.425522,60.156994,55.237671,6.661113,233.004303,13.890141,43.107841,47.530895,1.45,25.420916,15.127801,42.534924,40.455269,113.502861,35.5
"2018-08-02",50.376972,69.907997,12.419577,67.089127,54.946175,8.985428,29.661083,18.790001,3.97,6.837094,12.828963,53.297085,37.126804,73.006668,49.68,46.28363,42.310001,12.472042,46.865242,12.7,15.915046,5.259039,70.86496,108.932144,33.594791,51.799297,104.312279,20.325148,80.849998,28.143158,4.86213,38.811958,7.059174,36.823715,39.549999,1.53,33.987419,40.085022,15.100411,72.650002,176.369995,33.186375,11.341419,248.922012,1.99,27.97682,14.186867,15.039183,8.282084,23.610001,336.606232,53.400002,3.42,32.82,15.869899,2.996273,6.220078,48.252979,28.347691,37.810249,5.8,8.501358,20.303028,26.667074,31.639999,52.785713,34.447193,3.476975,59.548439,61.173397,4.06,46.459999,84.923058,59.866024,55.403816,6.713356,233.023636,14.096385,42.912701,47.760605,1.48,25.239401,15.258143,42.033287,40.892662,112.02739,36.150002
"2018-08-03",50.522717,69.634003,12.391285,68.028893,55.132904,9.094123,29.879183,18.49,3.94,6.748684,13.344303,53.790825,37.606434,73.051056,49.810001,46.834396,42.959999,12.878538,47.007313,12.73,16.198311,5.249246,71.122131,109.813736,33.785618,52.135586,104.768051,20.042177,81.339996,28.514277,4.957653,38.942738,7.338284,37.650272,35.299999,1.57,35.017624,40.367775,15.323132,68.360001,177.779999,33.924065,11.921809,250.392014,1.95,27.551907,13.78451,15.312091,8.250801,23.33,335.364655,52.810001,3.43,31.959999,15.816042,3.03544,6.570291,48.40699,28.528791,37.983021,5.89,8.625693,20.016157,26.804798,32.290001,57.300049,31.718023,3.515609,59.503288,61.83934,3.99,46.470001,85.726738,60.907913,56.107483,6.695942,235.149765,14.105351,43.321575,48.027073,1.57,25.256689,15.339609,42.733688,40.064388,112.289886,36.25
"2018-08-06",50.785061,68.398003,12.353565,68.038284,54.535358,9.085064,29.888662,19.43,3.92,6.768331,13.231455,53.845684,37.694752,73.059937,49.75,47.027645,44.580002,12.527473,46.978725,13.05,16.14613,5.210073,71.104401,109.841881,33.638165,52.289322,104.855316,20.110481,81.830002,28.3729,4.900339,38.36359,7.227803,38.114632,34.799999,1.51,34.896969,40.81076,15.363625,70.919998,185.690002,33.837837,11.893266,252.308945,1.97,28.324478,14.0751,15.009943,8.219519,23.5,333.564789,52.669998,3.41,32.98,16.112257,2.966898,6.456091,48.512875,28.509731,38.121231,5.51,8.555754,20.02541,26.976955,31.450001,55.362797,31.226202,3.409367,59.367825,62.111343,3.96,47.849998,85.793709,61.048702,56.478863,6.695942,236.898956,14.159156,43.349445,48.22002,1.44,25.265327,15.233705,43.19746,40.622784,112.516197,38.150002
"2018-08-07",50.308956,75.914001,12.410145,68.047691,54.796783,9.130355,29.879183,19.559999,4.02,6.73886,13.156222,53.781677,37.547546,72.740349,49.610001,46.844059,43.66,12.435087,47.359894,13.12,16.421944,5.278626,72.07103,110.245148,34.236675,52.558361,105.582596,20.217813,82.32,28.629148,4.82392,38.522388,7.123136,37.928886,34.849998,1.33,34.878407,41.074661,14.982977,71,183.809998,33.914486,11.779093,255.209167,1.95,28.614191,14.045298,14.970956,8.180415,23.82,337.597565,53.040001,3.32,32.669998,16.139183,2.947314,6.296211,48.888268,28.595516,38.630898,5.62,8.384795,19.784809,27.174936,31.25,54.49192,30.117178,3.399709,60.216713,62.449013,3.95,47.419998,85.889389,61.433548,56.772053,6.713356,239.527664,14.230893,43.21006,48.201641,1.47,25.014666,15.184827,43.897861,40.436649,113.312759,38.400002
"2018-08-08",50.342972,74.068001,12.306413,68.498779,54.712757,9.103181,30.154169,19.58,4.48,6.827271,13.118607,54.119987,37.66531,72.08342,48.93,46.757095,44.09,12.361177,47.607647,12.23,17.145016,5.278626,71.592148,110.470253,34.600983,53.067608,106.174126,19.651869,82.790001,28.593803,4.871682,39.204288,7.00684,38.458256,33.400002,1.25,34.952652,41.319721,14.942482,70.82,185.179993,33.579163,11.531711,256.66925,2.02,27.957506,14.164513,15.000196,8.227338,23.48,334.729431,53.389999,3.3,31.84,16.085327,2.986481,6.182012,48.609127,29.176958,38.55315,5.49,8.485817,19.016737,27.157717,31.17,53.567722,29.683214,3.457659,59.972893,62.552181,3.95,47.25,86.157295,63.986622,57.485489,6.661113,237.246902,14.419203,42.88483,48.422161,1.46,25.29126,15.103363,43.661243,39.710743,112.136017,36.950001
"2018-08-09",50.738911,70.489998,12.202682,67.643593,55.403667,8.976371,29.964523,19.1,4.36,6.887288,12.817678,53.825256,37.213875,69.056274,50.950001,46.902031,43.900002,11.465039,47.779175,12.31,17.264284,5.249246,71.228546,109.616776,35.182152,53.173306,106.348679,19.603083,82.75,28.708672,4.82392,39.082851,6.86147,38.077484,33.150002,1.1,34.813438,41.263165,14.804801,69.379997,183.089996,34.000702,11.379477,254.722488,1.91,28.112024,14.298634,14.922222,8.180415,23.290001,332.456421,52.259998,3.24,31.959999,16.103279,2.976689,6.052586,48.956539,28.423944,38.128338,5.5,8.43919,18.961212,27.364309,31.129999,53.318909,29.538561,3.457659,59.060783,61.904999,3.86,57.32,85.656868,64.362083,57.65163,6.661113,236.580048,14.284695,43.070675,48.706989,1.44,25.507353,17.082926,40.973232,39.152348,110.913994,38.599998
"2018-08-10",50.587772,71.098,12.042369,66.027214,55.64642,8.822386,29.575747,19.059999,4.46,6.847932,12.591982,53.466042,36.566166,69.93512,50.610001,46.689461,42.669998,11.132452,46.549908,12.31,16.973564,5.112139,71.156883,108.538254,34.670383,52.567966,105.698975,19.886057,81.720001,28.505438,4.680635,38.326233,6.54747,38.012478,33.299999,1.13,33.959576,41.263165,14.667121,70.599998,180.259995,33.607914,10.979862,253.063766,1.91,27.870592,14.4104,14.727289,8.149133,23.610001,328.287659,51.369999,3.15,32.009998,16.309734,2.966898,5.67192,48.840733,28.728964,37.655346,5.42,8.415879,18.757629,27.364309,31.469999,53.007877,29.490341,3.390051,59.638748,61.970642,3.82,58.049999,86.782799,64.81263,57.65163,6.574039,233.64212,14.20399,42.819782,48.210827,1.55,25.585146,17.416925,41.806133,39.868954,111.647202,41.650002
"2018-08-13",50.91441,71.281998,11.740602,64.993484,55.076885,8.568765,28.902487,19.73,4.42,6.838094,12.573174,53.060795,36.104919,69.366989,51.16,46.389915,42.790001,10.836818,46.168747,12.57,16.653027,5.082759,70.386345,106.812592,34.765797,52.097157,104.932899,19.593327,81.209999,28.461256,4.671083,38.027317,6.518396,37.901028,31.75,1.2,33.56049,41.234894,14.100196,72.370003,180.050003,33.569588,10.941805,254.384781,1.89,28.034761,14.164513,14.5421,8.203877,22.74,327.272095,51.34,3.11,32.799999,16.013517,2.810229,5.694758,48.358223,28.490669,37.383808,5.39,8.159438,18.600315,26.417444,30.950001,52.679077,29.1721,3.245177,58.672466,62.58033,3.81,55.380001,86.263145,65.235008,57.505039,6.582747,232.897995,14.087417,42.587471,47.981125,1.48,25.343122,17.824251,41.351818,39.152348,110.83252,35.700001
"2018-08-14",51.128937,69.528,11.646298,65.79229,55.384995,8.604998,29.196445,20.02,4.49,6.847932,12.827083,53.48447,36.39933,70.716331,52.02,46.602493,42.84,10.873773,45.854282,12.34,16.705206,5.092552,70.162354,107.525375,36.275089,52.616009,106.242012,20.004169,81.440002,28.487766,4.785711,38.214134,6.681211,37.808155,31.35,1.19,33.597614,41.47052,14.245976,74.970001,181.110001,33.904903,11.015241,259.658783,1.89,27.986477,14.231574,14.425139,8.180415,22.469999,328.026489,50.619999,3.08,33.189999,16.112257,2.780855,5.847025,48.763531,29.161036,37.322502,5.38,8.089499,18.776136,26.090349,30.950001,52.892353,29.220316,2.829871,58.518944,62.33646,3.76,55.790001,87.427551,66.999634,57.749371,6.669821,235.517014,14.284695,42.643219,48.578362,1.48,25.325834,18.215273,41.550583,39.468777,110.959259,32.900002
